METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT;METRIC_SCORES
BaseLine;-3;Is this automaton meant to be deterministic or something else?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];-1;-1;False;{'user_input': 'Is this automaton meant to be deterministic or something else?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'automatonType': '?'}};[0.1, 0.2, 0.2, 1.0]
BaseLine;-2;Tell me if the alphabet here is just 0 and 1 or if there are more symbols.;Could you be more specific?;[];-1;-1;False;{'user_input': 'Tell me if the alphabet here is just 0 and 1 or if there are more symbols.', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '0'}};[0.1, 0.1, 0.1, 0.9]
BaseLine;-1;How many arrows in total connect one state to another in this picture?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];-1;-1;False;{'user_input': 'How many arrows in total connect one state to another in this picture?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'numberOfTransitions': '?'}};[1.0, 1.0, 1.0, 1.0]
BaseLine;0;From q0, what exact sequence of inputs brings me back to q0 for the first time?;There is no transition between q0 and q0.;[];-1;-1;False;{'user_input': 'From q0, what exact sequence of inputs brings me back to q0 for the first time?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q0', 'q0', 'input:0']]}};[0.0, 0.2, 0.0, 1.0]
BaseLine;1;Which state in this machine has the largest number of outgoing arrows?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];-1;-1;False;{'user_input': 'Which state in this machine has the largest number of outgoing arrows?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};[0.0, 0.2, 0.0, 0.3]
BaseLine;2;Is there any state in this automaton that has no arrows leaving it at all?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];-1;-1;False;{'user_input': 'Is there any state in this automaton that has no arrows leaving it at all?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};[0.0, 0.2, 0.0, 0.8]
BaseLine;3;Tell me the transition that goes into q3, including its label and origin.;the transition is not defined.;[];-1;-1;False;{'user_input': 'Tell me the transition that goes into q3, including its label and origin.', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['?', 'q3', '?']]}};[0.0, 0.2, 0.0, 1.0]
BaseLine;4;What kind of language does this automaton recognize, in the formal sense?;Could you be more specific?;[];-1;-1;False;{'user_input': 'What kind of language does this automaton recognize, in the formal sense?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
BaseLine;5;Give me one example of an input that this automaton would reject.;Could you be more specific?;[];-1;-1;False;{'user_input': 'Give me one example of an input that this automaton would reject.', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
BaseLine;6;Can you list the transitions that leave state q2?;the transition is not defined.;[];-1;-1;False;{'user_input': 'Can you list the transitions that leave state q2?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['?', 'q2', '?']]}};[0.0, 0.2, 0.0, 1.0]
BaseLine;7;From q3, where do I end up if I keep following zeros?;There is no transition between q3 and q3.;[];-1;-1;False;{'user_input': 'From q3, where do I end up if I keep following zeros?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q3', 'q3', '0']]}};[0.2, 0.4, 0.2, 0.9]
BaseLine;8;Tell me the symbol on the arrow from q1 to q2.;The transition between q1 and q2 is with value 1.;['simbolo-q1-q2'];-1;-1;False;{'user_input': 'Tell me the symbol on the arrow from q1 to q2.', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', 'q2', '?']]}};[1.0, 1.0, 1.0, 1.0]
