METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT;METRIC_SCORES
BaseLine;-3;Does this automaton accept the input 11000 if I begin in q0?;Could you be more specific?;[];-1;-1;False;{'user_input': 'Does this automaton accept the input 11000 if I begin in q0?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'input': '11000'}};[0.0, 0.1, 0.0, 0.9]
BaseLine;-2;How many different arrows in total are drawn between the states?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];-1;-1;False;{'user_input': 'How many different arrows in total are drawn between the states?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'numberOfTransitions': '?'}};[1.0, 1.0, 1.0, 1.0]
BaseLine;-1;What is the smallest input word that returns me from q0 back to q0 in this diagram?;Could you be more specific?;[];-1;-1;False;{'user_input': 'What is the smallest input word that returns me from q0 back to q0 in this diagram?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
BaseLine;0;Which symbols make up the whole alphabet used by this automaton?;Could you be more specific?;[];-1;-1;False;{'user_input': 'Which symbols make up the whole alphabet used by this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
BaseLine;1;Does this machine describe a regular language or some other kind?;Could you be more specific?;[];-1;-1;False;{'user_input': 'Does this machine describe a regular language or some other kind?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
BaseLine;2;Tell me whether this automaton should be called deterministic.;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];-1;-1;False;{'user_input': 'Tell me whether this automaton should be called deterministic.', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'input': 'automatonType'}};[0.0, 0.4, 0.2, 1.0]
BaseLine;3;What single state should I mark as final if I follow the usual rules?;The final state is q0.;['simbolo-q0'];-1;-1;False;{'user_input': 'What single state should I mark as final if I follow the usual rules?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'finalStates': '?'}};[1.0, 1.0, 1.0, 1.0]
BaseLine;4;What word does this automaton accept that ends in three zeros?;Could you be more specific?;[];-1;-1;False;{'user_input': 'What word does this automaton accept that ends in three zeros?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
BaseLine;5;If the input is empty, what is the output of the automaton?;Could you be more specific?;[];-1;-1;False;{'user_input': 'If the input is empty, what is the output of the automaton?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': ''}};[0.0, 0.1, 0.0, 1.0]
BaseLine;6;Can q2 jump straight to q4 on any input?;the transition is not defined.;[];-1;-1;False;{'user_input': 'Can q2 jump straight to q4 on any input?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}};[1.0, 1.0, 1.0, 1.0]
BaseLine;7;What label sits on the arrow from q1 to q2?;The state q0 exists.;['simbolo-q0'];-1;-1;False;{'user_input': 'What label sits on the arrow from q1 to q2?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': 'q1'}};[0.0, 0.0, 0.0, 0.1]
