METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT;METRIC_SCORES
BaseLine;-1;Describe the input strings that this automaton accepts.;Could you be more specific?;[];-1;-1;False;{'user_input': 'Describe the input strings that this automaton accepts.', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
BaseLine;0;Does this automaton count as deterministic or not?;The automaton accepts zero or more words formed by a sequence of the type 11000. MUTATION In total there are 5 states: q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];-1;-1;True;{'user_input': 'Does this automaton count as deterministic or not?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'input': 'automatonType'}};[0.1, 0.2, 0.2, 1.0]
BaseLine;1;Point out the state that has no incoming transitions, if any.;The state q0 exists.;['simbolo-q0'];-1;-1;False;{'user_input': 'Point out the state that has no incoming transitions, if any.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};[0.0, 0.2, 0.0, 0.8]
BaseLine;2;Tell me the number of separate arrows drawn in this automaton.;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];-1;-1;False;{'user_input': 'Tell me the number of separate arrows drawn in this automaton.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfSeparateArrows': '?'}};[0.0, 0.2, 0.0, 0.3]
BaseLine;3;What is the alphabet used by the automaton in the image?;Could you be more specific?;[];-1;-1;False;{'user_input': 'What is the alphabet used by the automaton in the image?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
BaseLine;4;Explain what happens to the output when the machine stops in a nonfinal state.;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];-1;-1;False;{'user_input': 'Explain what happens to the output when the machine stops in a nonfinal state.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'output': '?'}};[0.1, 0.2, 0.1, 0.9]
BaseLine;5;Tell me the pattern type you see in the way the states are arranged in the drawing.;Could you be more specific?;[];-1;-1;False;{'user_input': 'Tell me the pattern type you see in the way the states are arranged in the drawing.', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}};[0.1, 0.2, 0.1, 1.0]
BaseLine;6;Can q2 ever reach q4 in this automaton?;there is no transition between q2 and q4.;[];-1;-1;False;{'user_input': 'Can q2 ever reach q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}};[0.2, 0.4, 0.2, 1.0]
BaseLine;11;Show me what output this automaton gives for the input 11000.;The automaton accepts zero or more words formed by a sequence of the type 11000. MUTATION In total there are 5 states: q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];-1;-1;True;{'user_input': 'Show me what output this automaton gives for the input 11000.', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}};[0.2, 0.4, 0.3, 1.0]
BaseLine;12;Does this machine accept only regular languages?;Could you be more specific?;[];-1;-1;False;{'user_input': 'Does this machine accept only regular languages?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.1, 0.2, 0.1, 1.0]
BaseLine;13;I want to know the alphabet used in this diagram.;Could you be more specific?;[];-1;-1;False;{'user_input': 'I want to know the alphabet used in this diagram.', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
BaseLine;14;Is this automaton considered deterministic or not?;The automaton accepts zero or more words formed by a sequence of the type 11000. MUTATION In total there are 5 states: q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];-1;-1;True;{'user_input': 'Is this automaton considered deterministic or not?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'deterministic': '?'}};[0.0, 0.2, 0.0, 1.0]
BaseLine;15;From q0, which state do I land in after reading exactly three zeros?;The state q0 exists.;['simbolo-q0'];-1;-1;False;{'user_input': 'From q0, which state do I land in after reading exactly three zeros?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q0']}};[0.0, 0.1, 0.0, 0.2]
BaseLine;16;Point out the state that has the most transitions attached to it.;The state q0 exists.;['simbolo-q0'];-1;-1;False;{'user_input': 'Point out the state that has the most transitions attached to it.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};[0.0, 0.1, 0.0, 0.2]
BaseLine;19;Explain what kind of pattern this automaton is meant to recognize.;Could you be more specific?;[];-1;-1;False;{'user_input': 'Explain what kind of pattern this automaton is meant to recognize.', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'patternType': '?'}};[0.0, 0.1, 0.0, 1.0]
BaseLine;20;What is the smallest number of final states this automaton could have?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];-1;-1;False;{'user_input': 'What is the smallest number of final states this automaton could have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}};[0.0, 0.2, 0.0, 0.2]
BaseLine;24;Show me what the automaton does with the input 11000.;The automaton accepts zero or more words formed by a sequence of the type 11000. MUTATION In total there are 5 states: q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];-1;-1;True;{'user_input': 'Show me what the automaton does with the input 11000.', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}};[0.2, 0.4, 0.3, 1.0]
