METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT;METRIC_SCORES
Accuracy;1;Is it possible to go from q2 directly to q4 in this automaton?;There is no transition between q2 and q4.;[];1.0;0;False;{'user_input': 'Is it possible to go from q2 directly to q4 in this automaton?', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;What is the label of the transition from state q2 to state q4?;There is no transition between q2 and q4.;[];1.0;0;False;{'user_input': 'What is the label of the transition from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;what is the transition from this to that?;There is no transition between q4 and q2.;[];0.9;0;False;{'user_input': 'what is the transition from this to that?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q4', 'q2']}, '_raw_frame': {'transitions': []}};[0.9, 0.9, 1.0, 1.0]
Accuracy;1;Is there a transition between states q4 and q2 in this automaton?;There is no transition between q4 and q2.;[];1.0;0;False;{'user_input': 'Is there a transition between states q4 and q2 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q4', 'q2', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;What is the transition between states q4 and q2 in this automaton?;There is no transition between q4 and q2.;[];1.0;0;False;{'user_input': 'What is the transition between states q4 and q2 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q4', 'q2', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;the transition from q4 to q2 in this automaton is defined by the sequence of inputs that takes the machine from that back to this.;There is no transition between q4 and q2.;[];0.95;0;False;{'user_input': 'the transition from q4 to q2 in this automaton is defined by the sequence of inputs that takes the machine from that back to this.', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q4', 'q2'], 'transitions': [['q4', 'q2', '?']]}, '_raw_frame': {'transitions': [['q4', 'q2', '?']]}};[0.95, 1.0, 1.0, 1.0]
Accuracy;1;Does the automaton contain this specific sequence of transitions: from q0 to q1 with input 1, then from q1 to q2 with input 1, from q2 to q3 with input 0, from q3 to q4 with input 0, and finally from q4 back to q0 with input 0?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];0.95;0;False;{'user_input': 'Does the automaton contain this specific sequence of transitions: from q0 to q1 with input 1, then from q1 to q2 with input 1, from q2 to q3 with input 0, from q3 to q4 with input 0, and finally from q4 back to q0 with input 0?', 'intent': None, 'argument': None, 'dialogue_act': None, 'frame': {}};[0.95, 0.9, 1.0, 1.0]
Accuracy;1;which information can you give me about the states q4 and q2 in this automaton?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];0.1;1;False;{'user_input': 'which information can you give me about the states q4 and q2 in this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q4', 'q2']}};[0.1, 0.2, 0.2, 0.3]
Accuracy;1;How many states does this automaton have?;This automaton has 5 states.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];1.0;1;False;{'user_input': 'How many states does this automaton have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '?'}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;"i’m done asking questions now; could you just remind me which states are q4 and q2 in this automaton before i leave?";The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];0.2;2;False;"{'user_input': 'i’m done asking questions now; could you just remind me which states are q4 and q2 in this automaton before i leave?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': 'q4'}}";[0.2, 0.3, 0.2, 0.2]
Accuracy;1;can you tell me more about the states q4 and q2 of this automaton?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];0.1;3;False;{'user_input': 'can you tell me more about the states q4 and q2 of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'states': ['q4', 'q2']}};[0.1, 0.2, 0.2, 0.9]
Accuracy;1;i meant to say that the states i was referring to are q4 and q2.;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];0.2;4;False;{'user_input': 'i meant to say that the states i was referring to are q4 and q2.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q4', 'q2']}};[0.2, 0.2, 0.2, 0.1]
Accuracy;1;in practical terms, what language is accepted between the states q4 and q2 in this finite state automaton?;Could you be more specific?;[];0.1;5;False;{'user_input': 'in practical terms, what language is accepted between the states q4 and q2 in this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': 'q4 q2'}};[0.1, 0.2, 0.1, 1.0]
Accuracy;1;I’m saying goodbye now, but before I go, could you tell me what language this automaton recognizes for the inputs q4 and q2?;Could you be more specific?;[];0.1;6;False;{'user_input': 'I’m saying goodbye now, but before I go, could you tell me what language this automaton recognizes for the inputs q4 and q2?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': 'q4'}};[0.1, 0.2, 0.1, 1.0]
Accuracy;1;What type of automaton is this finite state machine?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];0.2;7;False;{'user_input': 'What type of automaton is this finite state machine?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'type': 'automatonType'}};[0.2, 0.4, 0.3, 1.0]
Accuracy;2;What is the value of the transition from q1 to q2 in the diagram?;The transition between q1 and q2 is with value 1.;['simbolo-q1-q2'];1.0;0;False;{'user_input': 'What is the value of the transition from q1 to q2 in the diagram?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', 'q2', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;What is the symbol of the transition from state q1 to state q2 in this automaton’s alphabet?;There is no transition between q0 and q0.;[];0.0;1;False;{'user_input': 'What is the symbol of the transition from state q1 to state q2 in this automaton’s alphabet?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.0, 0.0, 1.0]
Accuracy;2;What is the alphabet of this automaton?;Could you be more specific?;[];0.0;2;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;2;What are the final states of this automaton and what alphabet does it use if the final states are Q1 and Q2?;The final state is q0.;['simbolo-q0'];0.0;3;False;{'user_input': 'What are the final states of this automaton and what alphabet does it use if the final states are Q1 and Q2?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'finalStates': 'Q1', 'alphabet': 'Q2'}};[0.0, 0.2, 0.0, 0.2]
Accuracy;2;So, if I understood correctly, for this automaton the final states are Q1 and the alphabet is Q2, right?;The final state is q0.;['simbolo-q0'];1.0;3;False;{'user_input': 'So, if I understood correctly, for this automaton the final states are Q1 and the alphabet is Q2, right?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'finalStates': 'Q1', 'alphabet': 'Q2'}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;from this, to which state does the automaton transition?;The state q3 exists.;['simbolo-q3'];0.0;4;False;{'user_input': 'from this, to which state does the automaton transition?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q3']}, '_raw_frame': {'transitions': []}};[0.0, 0.2, 0.0, 0.9]
Accuracy;2;from which state does this transition start?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];0.0;5;False;{'user_input': 'from which state does this transition start?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'state': '?'}};[0.0, 0.2, 0.0, 0.3]
Accuracy;2;sorry, i meant the final state is q0, not q4.;The final state is q0.;['simbolo-q0'];1.0;5;False;{'user_input': 'sorry, i meant the final state is q0, not q4.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'finalStates': 'q0'}};[1.0, 1.0, 1.0, 0.9]
Accuracy;2;what is the description of the state?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];0.4;5;False;{'user_input': 'what is the description of the state?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'state': '?'}};[0.4, 0.6, 0.4, 0.9]
Accuracy;2;Which state in this automaton corresponds to the state q1?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];0.1;6;False;{'user_input': 'Which state in this automaton corresponds to the state q1?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'state': 'q1'}};[0.1, 0.2, 0.2, 0.9]
Accuracy;2;Which states does this automaton have?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];1.0;6;False;{'user_input': 'Which states does this automaton have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;what is the definition of a state in this finite state automaton?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];0.1;7;False;{'user_input': 'what is the definition of a state in this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'state': '?'}};[0.1, 0.2, 0.2, 0.9]
Accuracy;3;What language does this automaton recognize in terms of strings of 0s and 1s?;Could you be more specific?;[];0.0;1;False;{'user_input': 'What language does this automaton recognize in terms of strings of 0s and 1s?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;3;What is the language accepted by this finite state automaton for an arbitrary input string?;Could you be more specific?;[];0.0;2;False;{'user_input': 'What is the language accepted by this finite state automaton for an arbitrary input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;3;what is the language accepted by this automaton for the input string?;Could you be more specific?;[];0.0;3;False;{'user_input': 'what is the language accepted by this automaton for the input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;3;What is the language recognized by this automaton for the input string?;Could you be more specific?;[];0.1;4;False;{'user_input': 'What is the language recognized by this automaton for the input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.1, 0.2, 0.1, 1.0]
Accuracy;3;what input strings does this automaton accept?;Could you be more specific?;[];0.0;5;False;{'user_input': 'what input strings does this automaton accept?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;3;What is the language accepted by this automaton for the input string?;Could you be more specific?;[];0.1;6;False;{'user_input': 'What is the language accepted by this automaton for the input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.1, 0.2, 0.1, 1.0]
Accuracy;3;"i accept my turn; what is the language recognized by this finite state automaton for the input string?";Could you be more specific?;[];0.1;7;False;"{'user_input': 'i accept my turn; what is the language recognized by this finite state automaton for the input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}";[0.1, 0.2, 0.1, 1.0]
Accuracy;3;what is the language accepted by this automaton for a given input string?;Could you be more specific?;[];0.0;8;False;{'user_input': 'what is the language accepted by this automaton for a given input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;3;what is the language accepted by this automaton for the input string?;Could you be more specific?;[];0.1;9;False;{'user_input': 'what is the language accepted by this automaton for the input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.1, 0.2, 0.1, 1.0]
Accuracy;3;What is the language accepted by this finite state automaton for an input string?;Could you be more specific?;[];0.0;10;False;{'user_input': 'What is the language accepted by this finite state automaton for an input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;3;What are the transitions of this automaton for an input string?;There is no transition between q0 and q0.;[];0.0;11;False;{'user_input': 'What are the transitions of this automaton for an input string?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};[0.0, 0.1, 0.0, 1.0]
Accuracy;3;What is the transition from state Q0 to state Q1 with input symbol 1?;the transition is not defined.;[];0.0;12;False;{'user_input': 'What is the transition from state Q0 to state Q1 with input symbol 1?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['Q0', 'Q1', '1']]}};[0.0, 0.9, 0.0, 1.0]
