METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT;METRIC_SCORES
Accuracy;1;Is it possible to go from q2 to q4 with a single transition?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];0.0;1;False;{'user_input': 'Is it possible to go from q2 to q4 with a single transition?', 'intent': None, 'argument': None, 'dialogue_act': None, 'frame': {}};[0.0, 0.3, 0.2, 1.0]
Accuracy;1;sorry, i meant the automaton returns to q0 with a 0 from q4, not with a 1.;The transition between q4 and q0 is with value 0.;['simbolo-q4-q0'];1.0;1;False;{'user_input': 'sorry, i meant the automaton returns to q0 with a 0 from q4, not with a 1.', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q4', 'q0', '?'], ['q0', 'q4', '0']]}};[1.0, 1.0, 1.0, 0.95]
Accuracy;1;describe practically what this finite state automaton does, given its states and transitions.;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];0.95;1;False;{'user_input': 'describe practically what this finite state automaton does, given its states and transitions.', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [], 'states': '?'}};[0.9, 0.95, 0.9, 1.0]
Accuracy;1;What is the theoretical definition of this finite state automaton?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];0.4;1;False;{'user_input': 'What is the theoretical definition of this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'automatonType': '?'}};[0.4, 0.7, 0.5, 1.0]
Accuracy;1;i don’t want to ask anything about the automaton right now.;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];0.9;1;False;{'user_input': 'i don’t want to ask anything about the automaton right now.', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {}};[0.4, 0.1, 0.5, 1.0]
Accuracy;1;I’m just looking at the automaton on the tablet.;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];0.95;1;False;{'user_input': 'I’m just looking at the automaton on the tablet.', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};[0.95, 0.9, 1.0, 1.0]
Accuracy;2;What is the transition label from q1 to q2 in this automaton?;The transition between q1 and q2 is with value 1.;['simbolo-q1-q2'];1.0;0;False;{'user_input': 'What is the transition label from q1 to q2 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', 'q2', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;There are 7 transitions in this automaton.;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];0.0;1;False;{'user_input': 'There are 7 transitions in this automaton.', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};[0.0, 1.0, 0.71, 1.0]
Accuracy;2;can you tell me which states are present in this automaton?;The state q0 exists.;['simbolo-q0'];0.2;2;False;{'user_input': 'can you tell me which states are present in this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};[0.2, 0.4, 0.2, 0.9]
Accuracy;2;Can you list all the transitions of this automaton and indicate whether they define a non-regular language?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];0.5;2;False;{'user_input': 'Can you list all the transitions of this automaton and indicate whether they define a non-regular language?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};[0.5, 0.6, 0.5, 1.0]
