METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT;METRIC_SCORES
Accuracy;1;Is it possible to go from q2 to q4 in the automaton shown?;there is no transition between q2 and q4.;[];0.2;1;False;{'user_input': 'Is it possible to go from q2 to q4 in the automaton shown?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}};[0.2, 0.5, 0.2, 1.0]
Accuracy;1;how many states are there in this automaton?;This automaton has 5 states;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];1.0;1;False;{'user_input': 'how many states are there in this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '?'}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;What is the label of the transition that goes from state q2 to state q4?;there is no transition between q2 and q4.;[];1.0;1;False;{'user_input': 'What is the label of the transition that goes from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;hi again! can you remind me what the transition from q2 to q4 is in this automaton?;there is no transition between q2 and q4.;[];1.0;1;False;{'user_input': 'hi again! can you remind me what the transition from q2 to q4 is in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;What is the label of the transition from state q2 to state q4?;there is no transition between q2 and q4.;[];1.0;1;False;{'user_input': 'What is the label of the transition from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;what is the missing symbol on the transition from this to that?;Could you be more specific?;[];0.1;2;False;{'user_input': 'what is the missing symbol on the transition from this to that?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q4', 'q2']}, '_raw_frame': {'alphabet': '?', 'transitions': []}};[0.1, 0.2, 0.1, 1.0]
Accuracy;1;what is the language accepted by the automaton between states q4 and q2?;Could you be more specific?;[];0.1;3;False;{'user_input': 'what is the language accepted by the automaton between states q4 and q2?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?', 'input': '?'}};[0.0, 0.2, 0.0, 1.0]
Accuracy;1;what is the language recognized by this automaton for the input string?;Could you be more specific?;[];0.0;4;False;{'user_input': 'what is the language recognized by this automaton for the input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.1, 0.1, 0.1, 1.0]
Accuracy;1;In this automaton, which state has no outgoing transitions? I think it might be q3.;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];0.0;5;False;{'user_input': 'In this automaton, which state has no outgoing transitions? I think it might be q3.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'stateWithNoTransitions': 'q3'}};[0.0, 0.2, 0.0, 0.3]
Accuracy;1;Is the state q2 in this non deterministic automaton also considered a final state?;The state q0 exists.;['simbolo-q0'];0.0;6;False;{'user_input': 'Is the state q2 in this non deterministic automaton also considered a final state?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': 'q2'}};[0.0, 0.1, 0.0, 0.2]
