METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Accuracy;1;Is there any transition going directly from q2 to q4 in this automaton?;there is no transition between q2 and q4.;[];1.0;0;False;{'user_input': 'Is there any transition going directly from q2 to q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;1;What is the missing input symbol for the transition from state q2 to state q4?;Could you be more specific?;[];0.0;1;False;{'user_input': 'What is the missing input symbol for the transition from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;1;can you show me a pattern that is recognized by an automaton with 2 states?;Could you be more specific?;[];0.2;2;False;{'user_input': 'can you show me a pattern that is recognized by an automaton with 2 states?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '2'}}
Accuracy;1;Hi again! Could you show me a practical example of an input pattern that this automaton accepts?;Could you be more specific?;[];0.1;3;False;{'user_input': 'Hi again! Could you show me a practical example of an input pattern that this automaton accepts?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'pattern': '?'}}
Accuracy;1;What is the input that makes this automaton go from the initial state back to itself?;Could you be more specific?;[];0.0;4;False;{'user_input': 'What is the input that makes this automaton go from the initial state back to itself?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;1;What is the language recognized by this finite state automaton for an arbitrary input string?;Could you be more specific?;[];0.0;5;False;{'user_input': 'What is the language recognized by this finite state automaton for an arbitrary input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;1;For which input strings does this automaton accept, i.e., what is the language recognilzed by the automaton?;Coud you be more specific?;[];0.0;6;False;{'user_input': 'For which input strings does this automaton accept, i.e., what is the language recognized by the automaton?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;1;"i don’t understand what language this automaton recognizes; could you tell me what language it accepts for a given input?";The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];0.95;6;False;"{'user_input': 'i don’t understand what language this automaton recognizes; could you tell me what language it accepts for a given input?', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {}}"
Accuracy;1;what is the input string that this automaton accepts?;Could you be more specific?;[];0.0;7;False;{'user_input': 'what is the input string that this automaton accepts?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;1;"i don’t understand what language this automaton accepts; could you tell me what language it recognizes for a given input?";The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];0.95;7;False;"{'user_input': 'i don’t understand what language this automaton accepts; could you tell me what language it recognizes for a given input?', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {}}"
Accuracy;1;For this automaton, what is the input that will be processed?;Could you be more specific?;[];0.1;8;False;{'user_input': 'For this automaton, what is the input that will be processed?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;1;can you tell me what language is recognized by this finite state automaton for a given input string?;Could you be more specific?;[];0.0;9;False;{'user_input': 'can you tell me what language is recognized by this finite state automaton for a given input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;1;given the automaton shown, what output does it produce for the input string “11000”?;Could you be more specific?;[];0.0;10;False;{'user_input': 'given the automaton shown, what output does it produce for the input string “11000”?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}}
Accuracy;1;which state in this automaton has no transitions?;The state q0 exists.;['simbolo-q0'];0.0;11;False;{'user_input': 'which state in this automaton has no transitions?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}}
Accuracy;1;what are the states of this automaton?;The state q0 exists.;['simbolo-q0'];0.2;12;False;{'user_input': 'what are the states of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}}
Accuracy;2;What is the value on the transition from q1 to q2 in the diagram?;The transition between q1 and q2 is with value 1.;['simbolo-q1-q2'];1.0;0;False;{'user_input': 'What is the value on the transition from q1 to q2 in the diagram?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', 'q2', '?']]}}
Accuracy;2;what is the alphabet of this automaton?;Could you be more specific?;[];0.0;1;False;{'user_input': 'what is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
