METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT;METRIC_SCORES
Accuracy;1;Is it possible to go from q2 directly to q4 in this automaton?;There is no transition between q2 and q4.;[];1.0;0;False;{'user_input': 'Is it possible to go from q2 directly to q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;what is the symbol on the transition from this to that?;There is no transition between q4 and q2.;[];0.9;0;False;{'user_input': 'what is the symbol on the transition from this to that?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q4', 'q2']}, '_raw_frame': {'symbol': '?'}};[0.9, 0.9, 1.0, 1.0]
Accuracy;1;Which states of the automaton are q4 and q2?;MUTATION The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];0.2;1;True;{'user_input': 'Which states of the automaton are q4 and q2?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q4', 'q2']}};[0.2, 0.4, 0.3, 0.9]
Accuracy;1;which of the states q4 and q2 in this finite state automaton can be considered final or accepting states, and how are states like q4 and q2 formally defined in automata theory?;MUTATION The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];0.2;2;True;{'user_input': 'which of the states q4 and q2 in this finite state automaton can be considered final or accepting states, and how are states like q4 and q2 formally defined in automata theory?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q4', 'q2']}};[0.2, 0.3, 0.2, 1.0]
Accuracy;1;what are the transitions that start from this?;The state q1 exists.;['simbolo-q1'];0.0;3;False;{'user_input': 'what are the transitions that start from this?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q1']}, '_raw_frame': {'transitions': []}};[0.0, 0.1, 0.0, 0.2]
Accuracy;1;Which transitions start from state q1 in this automaton?;the transition is not defined.;[];0.0;4;False;{'user_input': 'Which transitions start from state q1 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', '?', '?']]}};[0.0, 0.2, 0.0, 1.0]
Accuracy;1;What is the transition that starts from state q1?;the transition is not defined.;[];0.0;5;False;{'user_input': 'What is the transition that starts from state q1?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', '?', '?']]}};[0.0, 0.2, 0.0, 1.0]
Accuracy;1;What is the transition that starts from state q1?;the transition is not defined.;[];0.0;6;False;{'user_input': 'What is the transition that starts from state q1?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', '?', '?']]}};[0.0, 0.2, 0.0, 1.0]
Accuracy;1;Does this automaton contain a transition from q2 to q3 on input 0?;The transition between q2 and q3 is with value 0.;['simbolo-q2-q3'];1.0;6;False;{'user_input': 'Does this automaton contain a transition from q2 to q3 on input 0?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q3', '0']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;Thanks, could you please tell me what transition starts from state q1?;the transition is not defined.;[];0.0;7;False;{'user_input': 'Thanks, could you please tell me what transition starts from state q1?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', '?', '?']]}};[0.0, 0.2, 0.0, 1.0]
