METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT;METRIC_SCORES
Accuracy;1;Is it possible to go directly from q2 to q4 in this automaton?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.0, 0.4, 0.3, 1.0];0.1;1;False;{'user_input': 'Is it possible to go directly from q2 to q4 in this automaton?', 'intent': None, 'argument': None, 'dialogue_act': None, 'frame': {}};[0.0, 0.4, 0.3, 1.0]
Accuracy;1;describe the pattern recognized by this automaton.;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;2;False;{'user_input': 'describe the pattern recognized by this automaton.', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;what is the optimal spatial representation of the pattern recognized by this finite state automaton?;Could you be more specific?;[];[0.1, 0.2, 0.1, 1.0];0.1;3;False;{'user_input': 'what is the optimal spatial representation of the pattern recognized by this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'optimalSpatialRepresentation': '?'}};[0.1, 0.2, 0.1, 1.0]
Accuracy;1;what is the pattern type of this automaton?;Could you be more specific?;[];[0.1, 0.1, 0.1, 1.0];0.0;4;False;{'user_input': 'what is the pattern type of this automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}};[0.1, 0.1, 0.1, 1.0]
Accuracy;1;What are the final states of this automaton?;The final state is q0.;['simbolo-q0'];[1.0, 1.0, 1.0, 1.0];1.0;4;False;{'user_input': 'What are the final states of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'finalStates': '?'}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;what is the pattern type of this finite state automaton?;Could you be more specific?;[];[0.1, 0.2, 0.1, 1.0];0.0;5;False;{'user_input': 'what is the pattern type of this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {}};[0.1, 0.2, 0.1, 1.0]
Accuracy;1;Does this automaton recognize a specific input pattern, and if so, what is that pattern?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;6;False;{'user_input': 'Does this automaton recognize a specific input pattern, and if so, what is that pattern?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'pattern': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;the pattern recognized by this automaton is the sequence 11000.;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;7;False;{'user_input': 'the pattern recognized by this automaton is the sequence 11000.', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'pattern': '11000'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;what are the transitions that go from any state to q4 with any input symbol?;the transition is not defined.;[];[1.0, 1.0, 1.0, 1.0];1.0;7;False;{'user_input': 'what are the transitions that go from any state to q4 with any input symbol?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['', '', '']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;does the automaton accept the input pattern 11000?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;8;False;{'user_input': 'does the automaton accept the input pattern 11000?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}};[0.0, 0.1, 0.0, 1.0]
