METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Accuracy;1;Is it possible to go from q2 directly to q4 in this automaton?;the transition is not defined.;[];1.0;0;False;{'user_input': 'Is it possible to go from q2 directly to q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;1;in this automaton, how many transitions are there if it has only 2 states?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];0.0;1;False;{'user_input': 'in this automaton, how many transitions are there if it has only 2 states?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'numberOfTransitions': '?'}}
Accuracy;1;how many transitions does this have in this automaton?;There is no transition between q0 and q0.;[];0.0;2;False;{'user_input': 'how many transitions does this have in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q0']}, '_raw_frame': {'numberOfTransitions': '?'}}
Accuracy;1;what is the alphabet of the automaton that only has this?;Could you be more specific?;[];0.1;3;False;{'user_input': 'what is the alphabet of the automaton that only has this?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q0']}, '_raw_frame': {'alphabet': '?'}}
Accuracy;1;can you tell me which pattern is associated with this in this automaton?;Could you be more specific?;[];0.1;4;False;{'user_input': 'can you tell me which pattern is associated with this in this automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q0']}, '_raw_frame': {'patternType': '?'}}
Accuracy;1;which transitions leave from this in this automaton?;There is no transition between q0 and q0.;[];0.0;5;False;{'user_input': 'which transitions leave from this in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q0']}, '_raw_frame': {'transitions': []}}
Accuracy;1;What is the alphabet of the automaton that only has the state q0?;Could you be more specific?;[];0.0;6;False;{'user_input': 'What is the alphabet of the automaton that only has the state q0?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': 'q0'}}
Accuracy;1;the alphabet of this automaton is q0.;Could you be more specific?;[];0.1;7;False;{'user_input': 'the alphabet of this automaton is q0.', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': 'q0'}}
Accuracy;1;what is the alphabet of this automaton, and are there any states without transitions?;Could you be more specific?;[];0.0;8;False;{'user_input': 'what is the alphabet of this automaton, and are there any states without transitions?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?', 'statesWithoutTransitions': '?'}}
Accuracy;1;What is the alphabet of this automaton and are there any states without outgoing transitions?;Could you be more specific?;[];0.0;9;False;{'user_input': 'What is the alphabet of this automaton and are there any states without outgoing transitions?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?', 'statesWithoutTransitions': '?'}}
Accuracy;1;what is the alphabet of this automaton, is it [“2”, “4”]?;Could you be more specific?;[];0.1;10;False;{'user_input': 'what is the alphabet of this automaton, is it [“2”, “4”]?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '2'}}
Accuracy;1;What is the pattern recognized by this automaton, and what is its alphabet and which states have no transitions?;Could you be more specific?;[];0.0;11;False;{'user_input': 'What is the pattern recognized by this automaton, and what is its alphabet and which states have no transitions?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?', 'alphabet': '?', 'statesWithoutTransitions': '?'}}
Accuracy;1;Can you tell me what type of pattern this automaton’s transitions follow, what its alphabet is, and whether there are any states without outgoing transitions?;Could you be more specific?;[];0.0;12;False;{'user_input': 'Can you tell me what type of pattern this automaton’s transitions follow, what its alphabet is, and whether there are any states without outgoing transitions?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?', 'transitions': [], 'noOutgoingStates': '?'}}
Accuracy;1;Which input pattern over the alphabet ? leads the automaton, following the listed transitions, to end in a state with no outgoing transitions?;Could you be more specific?;[];0.0;13;False;{'user_input': 'Which input pattern over the alphabet ? leads the automaton, following the listed transitions, to end in a state with no outgoing transitions?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;1;how many transitions does this finite state automaton have?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];1.0;13;False;{'user_input': 'how many transitions does this finite state automaton have?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'numberOfTransitions': '?'}}
Accuracy;2;What is the value of the transition from q1 to q2 in the diagram?;the transition is not defined.;[];0.0;1;False;{'user_input': 'What is the value of the transition from q1 to q2 in the diagram?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', 'q2', '?']]}}
Accuracy;2;For this automaton, if I input the string 11000, is the output accepted?;Could you be more specific?;[];0.0;2;False;{'user_input': 'For this automaton, if I input the string 11000, is the output accepted?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'input': '11000'}}
Accuracy;2;Given the automaton shown, what is the output when the input string is 11000?;Could you be more specific?;[];0.0;3;False;{'user_input': 'Given the automaton shown, what is the output when the input string is 11000?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}}
