METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Accuracy;1;Is there any transition going out of q2 on input 0 in this automaton?;the transition is not defined.;[];1.0;0;False;{'user_input': 'Is there any transition going out of q2 on input 0 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', '?', '0']]}}
Accuracy;1;what is the language accepted by the automaton that includes this on input 0 and then continues with 0 to q4 and 0 back to q0?;Could you be more specific?;[];0.1;1;False;{'user_input': 'what is the language accepted by the automaton that includes this on input 0 and then continues with 0 to q4 and 0 back to q0?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q3', '?']]}, '_raw_frame': {'input': '0'}}
Accuracy;1;What is the label of the transition that goes from state q2 to state q3?;The transition between q2 and q3 is with value 0.;['simbolo-q2-q3'];1.0;1;False;{'user_input': 'What is the label of the transition that goes from state q2 to state q3?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q3', '?']]}}
Accuracy;1;what is the symbol of this?;Could you be more specific?;[];0.1;2;False;{'user_input': 'what is the symbol of this?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q3', '?']]}, '_raw_frame': {'alphabet': '?'}}
Accuracy;1;what is the alphabet of this automaton?;Could you be more specific?;[];0.0;3;False;{'user_input': 'what is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;1;what is the alphabet of this automaton with the anti-clockwise pattern?;Could you be more specific?;[];0.0;4;False;{'user_input': 'what is the alphabet of this automaton with the anti-clockwise pattern?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;1;what is the alphabet of this automaton?;Could you be more specific?;[];0.0;5;False;{'user_input': 'what is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;1;What is the alphabet of this automaton?;Could you be more specific?;[];0.0;6;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;1;What is the alphabet of this automaton?;Could you be more specific?;[];0.0;7;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;1;before i say goodbye, could you tell me what is the alphabet of this automaton?;Could you be more specific?;[];0.0;8;False;{'user_input': 'before i say goodbye, could you tell me what is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'alphabet': '?'}}
