METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT;METRIC_SCORES
Accuracy;1;Can I go directly from q2 to q4 with a single transition?;there is no transition between q2 and q4.;[];[1.0, 1.0, 1.0, 1.0];1.0;0;False;{'user_input': 'Can I go directly from q2 to q4 with a single transition?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;what is the transition from this to that?;There is no transition between q2 and q4.;[];[1.0, 1.0, 1.0, 1.0];1.0;0;False;{'user_input': 'what is the transition from this to that?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q2', 'q4']}, '_raw_frame': {'transitions': []}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;sorry, i meant the transition that goes from this to that.;There is no transition between q2 and q4.;[];[0.95, 0.9, 1.0, 1.0];0.95;0;False;{'user_input': 'sorry, i meant the transition that goes from this to that.', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q2', 'q4']}, '_raw_frame': {'transitions': []}};[0.95, 0.9, 1.0, 1.0]
Accuracy;1;which states in this automaton have no transitions?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.0, 0.2, 0.0, 0.2];0.0;1;False;{'user_input': 'which states in this automaton have no transitions?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'stateType': '?'}};[0.0, 0.2, 0.0, 0.2]
Accuracy;1;How many transitions does this automaton have?;MUTATION The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];[1.0, 1.0, 1.0, 1.0];1.0;1;True;{'user_input': 'How many transitions does this automaton have?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'numberOfTransitions': '?'}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;i want to know the number of final states of this automaton’s states, is it 5?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.1, 0.2, 0.2, 0.9];0.0;2;False;{'user_input': 'i want to know the number of final states of this automaton’s states, is it 5?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '5'}};[0.1, 0.2, 0.2, 0.9]
Accuracy;1;What is the alphabet used by this automaton, considering that it has 5 final states?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;3;False;{'user_input': 'What is the alphabet used by this automaton, considering that it has 5 final states?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;what is the alphabet of this automaton?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;4;False;{'user_input': 'what is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;what is the alphabet of this automaton?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;5;False;{'user_input': 'what is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;What is the alphabet of this automaton?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;6;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;what is the alphabet of this automaton so that i can determine the optimal spatial representation?;Could you be more specific?;[];[0.1, 0.1, 0.1, 1.0];0.1;7;False;{'user_input': 'what is the alphabet of this automaton so that i can determine the optimal spatial representation?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.1, 0.1, 0.1, 1.0]
Accuracy;1;what is the alphabet of this automaton?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;8;False;{'user_input': 'what is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;What is the alphabet of this automaton?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;9;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;before i say goodbye, could you please tell me what the alphabet of this automaton is?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;10;False;{'user_input': 'before i say goodbye, could you please tell me what the alphabet of this automaton is?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;thank you, could you please tell me what the alphabet of this automaton is?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;11;False;{'user_input': 'thank you, could you please tell me what the alphabet of this automaton is?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;2;What is the label of the transition that goes from q3 back toward q0?;there is no transition between q3 and q0.;[];[1.0, 1.0, 1.0, 1.0];1.0;0;False;{'user_input': 'What is the label of the transition that goes from q3 back toward q0?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q3', 'q0', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;what is the symbol of the transition from that to this in this automaton?;There is no transition between q0 and q3.;[];[1.0, 1.0, 1.0, 1.0];1.0;0;False;{'user_input': 'what is the symbol of the transition from that to this in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q0', 'q3']}, '_raw_frame': {'transitions': []}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;can you tell me the transition between states q0 and q3?;there is no transition between q0 and q3.;[];[1.0, 1.0, 1.0, 1.0];1.0;0;False;{'user_input': 'can you tell me the transition between states q0 and q3?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q0', 'q3', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;can you show me the transitions of this pentagon-shaped automaton?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.95, 0.9, 1.0, 1.0];0.95;0;False;{'user_input': 'can you show me the transitions of this pentagon-shaped automaton?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};[0.95, 0.9, 1.0, 1.0]
Accuracy;2;Can you check if my practical question about this automaton is correct?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.95, 0.95, 1.0, 1.0];0.95;0;False;{'user_input': 'Can you check if my practical question about this automaton is correct?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};[0.95, 0.95, 1.0, 1.0]
Accuracy;2;This automaton is wrong. The automaton argument is not correct for the practical finite state automaton task.;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.2, 0.4, 0.3, 1.0];0.2;1;False;{'user_input': 'This automaton is wrong. The automaton argument is not correct for the practical finite state automaton task.', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'automatonType': 'finiteStateAutomaton', 'input': 'input'}};[0.2, 0.4, 0.3, 1.0]
Accuracy;2;Hi, could you help me with this finite state automaton by checking what output it produces for a given input?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.4, 0.6, 0.5, 1.0];0.4;1;False;{'user_input': 'Hi, could you help me with this finite state automaton by checking what output it produces for a given input?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};[0.4, 0.6, 0.5, 1.0]
Accuracy;2;can you show me how this finite state automaton processes the input?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.4, 0.6, 0.4, 1.0];0.4;1;False;{'user_input': 'can you show me how this finite state automaton processes the input?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};[0.4, 0.6, 0.4, 1.0]
Accuracy;2;For the finite state automaton shown, what is the output for the input string 11000?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.4, 0.6, 0.5, 1.0];0.2;2;False;{'user_input': 'For the finite state automaton shown, what is the output for the input string 11000?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}};[0.4, 0.6, 0.5, 1.0]
Accuracy;2;can you tell me what the graphic representation of this automaton is, for example if it is drawn as a pentagon?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.3, 0.4, 0.4, 1.0];0.2;3;False;{'user_input': 'can you tell me what the graphic representation of this automaton is, for example if it is drawn as a pentagon?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'graphicRepresentation': '?'}};[0.3, 0.4, 0.4, 1.0]
Accuracy;2;What is the graphical representation pattern of this finite state automaton?;Could you be more specific?;[];[0.1, 0.1, 0.1, 1.0];0.1;4;False;{'user_input': 'What is the graphical representation pattern of this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'graphicRepresentation': '?'}};[0.1, 0.1, 0.1, 1.0]
Accuracy;2;Can you show me the graphic representation of the current state in this finite state automaton?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.2, 0.3, 0.3, 1.0];0.2;5;False;{'user_input': 'Can you show me the graphic representation of the current state in this finite state automaton?', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {'graphicRepresentation': '?'}};[0.2, 0.3, 0.3, 1.0]
Accuracy;2;What is the graphical representation of this pattern?;Could you be more specific?;[];[0.1, 0.2, 0.1, 1.0];0.1;6;False;{'user_input': 'What is the graphical representation of this pattern?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'graphicRepresentation': '?'}};[0.1, 0.2, 0.1, 1.0]
Accuracy;2;what are the possible initial states of this automaton pattern, q1 and q2?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.1, 0.2, 0.2, 0.9];0.1;7;False;{'user_input': 'what are the possible initial states of this automaton pattern, q1 and q2?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'initialStates': 'q1'}};[0.1, 0.2, 0.2, 0.9]
Accuracy;2;"Thank you for explaining the states; I understand that the initial state is q1.";It is not the initial state.;[];[1.0, 1.0, 1.0, 1.0];1.0;7;False;"{'user_input': 'Thank you for explaining the states; I understand that the initial state is q1.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'initialState': 'q1'}}";[1.0, 1.0, 1.0, 1.0]
Accuracy;3;Is q0 the only final state in this automaton or are there others?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.0, 0.2, 0.0, 0.3];0.0;1;False;{'user_input': 'Is q0 the only final state in this automaton or are there others?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'stateCount': '?'}};[0.0, 0.2, 0.0, 0.3]
