METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Accuracy;Is it possible to go from q2 to q4 in this automaton?;there is no transition between q2 and q4.;0.9;0;False;{'user_input': 'Is it possible to go from q2 to q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;How many transitions are there in the automaton?;MUTATION The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;1.0;0;True;{'user_input': 'How many transitions are there in the automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'numberOfTransitions': '?'}}
Accuracy;To which state does the transition labeled 0 from q3 go?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.0;1;False;{'user_input': 'To which state does the transition labeled 0 from q3 go?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q3', '?', '0']]}}
Accuracy;Which state in this automaton has no outgoing transitions, for example q3?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.0;2;False;{'user_input': 'Which state in this automaton has no outgoing transitions, for example q3?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'stateWithNoTransitions': 'q3'}}
Accuracy;The state without outgoing transitions is q3.;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.1;3;False;{'user_input': 'The state without outgoing transitions is q3.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'state': 'q3'}}
Accuracy;How many final states does this automaton have?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.0;4;False;{'user_input': 'How many final states does this automaton have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}}
Accuracy;What is the pattern type of this finite state automaton?;Could you be more specific?;0.0;5;False;{'user_input': 'What is the pattern type of this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Accuracy;Can you show me the pattern that ends in state q1?;Could you be more specific?;0.0;6;False;{'user_input': 'Can you show me the pattern that ends in state q1?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Accuracy;The pattern type of this automaton is?;Could you be more specific?;0.0;7;False;{'user_input': 'The pattern type of this automaton is?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Accuracy;What is the pattern type of the transitions in this automaton?;Could you be more specific?;0.0;8;False;{'user_input': 'What is the pattern type of the transitions in this automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Accuracy;What pattern type does this automaton’s states follow?;Could you be more specific?;0.0;9;False;{'user_input': 'What pattern type does this automaton’s states follow?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Accuracy;What is the initial state of this pattern?;The initial state is q0.;1.0;9;False;{'user_input': 'What is the initial state of this pattern?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'initialState': '?'}}
Accuracy;What type of pattern does this automaton’s sequence of states follow?;Could you be more specific?;0.0;10;False;{'user_input': 'What type of pattern does this automaton’s sequence of states follow?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Accuracy;What is the pattern type of this automaton?;Could you be more specific?;0.0;11;False;{'user_input': 'What is the pattern type of this automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Accuracy;What is the pattern type of the automaton shown in the image?;Could you be more specific?;0.0;12;False;{'user_input': 'What is the pattern type of the automaton shown in the image?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Relevancy;Is it possible to go from state q2 to state q4 in this automaton?;there is no transition between q2 and q4.;0.6;0;False;{'user_input': 'Is it possible to go from state q2 to state q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Relevancy;What is the value of the transition from state q2 to state q4 in this automaton?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;0.4;0;False;{'user_input': 'What is the value of the transition from state q2 to state q4 in this automaton?', 'intent': None, 'argument': None, 'dialogue_act': None, 'frame': {}}
Relevancy;Goodbye, I’m done studying this automaton for now.;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;0.3;1;False;{'user_input': 'Goodbye, I’m done studying this automaton for now.', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {}}
Relevancy;Can you tell me what the transitions of this automaton are?;MUTATION The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;1.0;1;True;{'user_input': 'Can you tell me what the transitions of this automaton are?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {}}
