METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Accuracy;Is it possible to go from state q2 directly to state q4 in this automaton?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'Is it possible to go from state q2 directly to state q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;Actually, the transition from q2 to q4 is labeled 0, not “?”.;there is no transition between q2 and q4.;0.0;1;False;{'user_input': 'Actually, the transition from q2 to q4 is labeled 0, not “?”.', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '0']]}}
Accuracy;In the automaton shown, can you describe the transition from state q2 to state q4 on input symbol 0?;there is no transition between q2 and q4.;1.0;1;False;{'user_input': 'In the automaton shown, can you describe the transition from state q2 to state q4 on input symbol 0?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '0']]}}
Accuracy;The transition from q2 to q4 in this automaton occurs on input symbol 0.;there is no transition between q2 and q4.;1.0;1;False;{'user_input': 'The transition from q2 to q4 in this automaton occurs on input symbol 0.', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '0']]}}
Accuracy;Which state of this automaton has the highest number of transitions?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.0;2;False;{'user_input': 'Which state of this automaton has the highest number of transitions?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}}
Accuracy;How many states are there in this automaton?;This automaton has 5 states;1.0;2;False;{'user_input': 'How many states are there in this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '?'}}
Accuracy;What are the states of this automaton?;The automaton has 5 states: q0, q1, q2, q3 and q4.;1.0;2;False;{'user_input': 'What are the states of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}}
Accuracy;What is the alphabet of this automaton?;Could you be more specific?;0.0;3;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;What is the alphabet used for the transition from Q4 to the next state in this automaton?;Could you be more specific?;0.0;4;False;{'user_input': 'What is the alphabet used for the transition from Q4 to the next state in this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;"The alphabet of this automaton isn’t clear to me from the diagram; what is its alphabet?";Could you be more specific?;0.0;5;False;"{'user_input': 'The alphabet of this automaton isn’t clear to me from the diagram; what is its alphabet?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'alphabet': '?'}}"
Accuracy;What is the alphabet of this automaton if it has 5 final states?;Could you be more specific?;0.0;6;False;{'user_input': 'What is the alphabet of this automaton if it has 5 final states?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;What is the optimal spatial representation of the alphabet of this finite state automaton?;Could you be more specific?;0.0;7;False;{'user_input': 'What is the optimal spatial representation of the alphabet of this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;What is the alphabet of this finite state automaton?;Could you be more specific?;0.0;8;False;{'user_input': 'What is the alphabet of this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;"The alphabet of this automaton is not clear to me from the picture; what is the alphabet?";Could you be more specific?;0.0;9;False;"{'user_input': 'The alphabet of this automaton is not clear to me from the picture; what is the alphabet?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}"
Accuracy;What are the transitions that go from an unknown state to Q4 with an unknown input symbol?;the transition is not defined.;0.9;9;False;{'user_input': 'What are the transitions that go from an unknown state to Q4 with an unknown input symbol?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['?', 'Q4', '?']]}}
METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Relevancy;Is there a transition from q2 directly to q4 in this automaton?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'Is there a transition from q2 directly to q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Relevancy;In this automaton with 5 states, what is the transition structure?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;1.0;0;False;{'user_input': 'In this automaton with 5 states, what is the transition structure?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '5', 'transitions': []}}
Relevancy;The automaton I’m studying has 5 states: could you help me work out its transitions?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;1.0;0;False;{'user_input': 'The automaton I’m studying has 5 states: could you help me work out its transitions?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'numberOfStates': '5'}}
Relevancy;Are there exactly 5 states connected by transitions in this automaton?;There are 5 states in this automaton.;0.9;0;False;{'user_input': 'Are there exactly 5 states connected by transitions in this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '5'}}
Relevancy;I think there are 5 states in this automaton.;There are 5 states in this automaton.;1.0;0;False;{'user_input': 'I think there are 5 states in this automaton.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '5'}}
Relevancy;What is the language recognized by this finite state automaton with 5 states?;Could you be more specific?;0.1;1;False;{'user_input': 'What is the language recognized by this finite state automaton with 5 states?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '5'}}
Relevancy;The language of this finite state automaton with 5 states is what?;Could you be more specific?;0.1;2;False;{'user_input': 'The language of this finite state automaton with 5 states is what?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?', 'numberOfStates': '5', 'states': '?'}}
Relevancy;I accept this turn: based on the automaton with 5 states, can you tell me what is the language it recognizes and what its alphabet and states are?;Could you be more specific?;0.2;3;False;{'user_input': 'I accept this turn: based on the automaton with 5 states, can you tell me what is the language it recognizes and what its alphabet and states are?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?', 'states': '?', 'language': '?'}}
Relevancy;What is the language accepted by this automaton for the input string 11000?;Could you be more specific?;0.1;4;False;{'user_input': 'What is the language accepted by this automaton for the input string 11000?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}}
Relevancy;The language recognized by this automaton for the input string `11000` is accepted.;Could you be more specific?;0.2;5;False;{'user_input': 'The language recognized by this automaton for the input string `11000` is accepted.', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}}
Relevancy;For the automaton shown, can you process the input string 11000 and tell me what happens?;Could you be more specific?;0.1;6;False;{'user_input': 'For the automaton shown, can you process the input string 11000 and tell me what happens?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}}
