METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Accuracy;Is there any transition going directly from state q2 to state q4?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'Is there any transition going directly from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;What is the label of the transition that goes from state q2 to state q4?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'What is the label of the transition that goes from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;"The transition from state q2 to state q4 is not labeled in the automaton; what symbol should be on that transition?";there is no transition between q2 and q4.;1.0;0;False;"{'user_input': 'The transition from state q2 to state q4 is not labeled in the automaton; what symbol should be on that transition?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}"
Accuracy;What is the missing symbol on the transition from state q2 to state q4 in the automaton’s alphabet?;Could you be more specific?;0.0;1;False;{'user_input': 'What is the missing symbol on the transition from state q2 to state q4 in the automaton’s alphabet?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'alphabet': '?'}}
Accuracy;Which is the alphabet of this automaton if it has 5 final states?;Could you be more specific?;0.0;2;False;{'user_input': 'Which is the alphabet of this automaton if it has 5 final states?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;What is the alphabet of this finite state automaton?;Could you be more specific?;0.0;3;False;{'user_input': 'What is the alphabet of this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;What is the alphabet of this automaton?;Could you be more specific?;0.0;4;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;What is the alphabet of this automaton if it has 5 final states?;Could you be more specific?;0.0;5;False;{'user_input': 'What is the alphabet of this automaton if it has 5 final states?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;Which states in this automaton have no transitions?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.0;6;False;{'user_input': 'Which states in this automaton have no transitions?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'stateWithoutTransition': '?'}}
Accuracy;Which state in this automaton has no outgoing transitions?;The state q0 exists.;0.0;7;False;{'user_input': 'Which state in this automaton has no outgoing transitions?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}}
Accuracy;Can you tell me what the states of this automaton are?;The state q0 exists.;0.2;8;False;{'user_input': 'Can you tell me what the states of this automaton are?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}}
Accuracy;Can you show me the state q1 in this automaton?;The state q0 exists.;0.0;9;False;{'user_input': 'Can you show me the state q1 in this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': 'q1'}}
Accuracy;From which state does the transition start when the automaton reads the symbol 1?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.0;10;False;{'user_input': 'From which state does the transition start when the automaton reads the symbol 1?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {}}
Accuracy;Can you check if the automaton in the image has exactly 2 states?;The number of states is incorrect.;1.0;10;False;{'user_input': 'Can you check if the automaton in the image has exactly 2 states?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '2'}}
Accuracy;For the input string 11000, what is the resulting state of the automaton and is the output accepted?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.1;11;False;{'user_input': 'For the input string 11000, what is the resulting state of the automaton and is the output accepted?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}}
METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Relevancy;Is it possible to go from state q2 to state q4 in this automaton?;there is no transition between q2 and q4.;0.95;0;False;{'user_input': 'Is it possible to go from state q2 to state q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Relevancy;What is the label of the transition that goes from state q2 to state q4?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'What is the label of the transition that goes from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Relevancy;Goodbye! Before I go, could you tell me what the transition from state q2 to state q4 is?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'Goodbye! Before I go, could you tell me what the transition from state q2 to state q4 is?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Relevancy;What is the value of the transition from state q2 to state q4?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'What is the value of the transition from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Relevancy;What is the symbol of the transition from state q2 to state q4?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'What is the symbol of the transition from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Relevancy;Which state in this automaton has no outgoing transitions?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.2;1;False;{'user_input': 'Which state in this automaton has no outgoing transitions?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'stateWithNoTransitions': '?'}}
Relevancy;Which state in this automaton has no transitions associated with it?;The state q0 exists.;0.2;2;False;{'user_input': 'Which state in this automaton has no transitions associated with it?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}}
Relevancy;From the state q3, which states can the automaton transition to?;the transition is not defined.;0.2;3;False;{'user_input': 'From the state q3, which states can the automaton transition to?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q3', '?', '?']]}}
Relevancy;What is the alphabet of this automaton?;Could you be more specific?;0.1;4;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Relevancy;What is the alphabet of this automaton?;Could you be more specific?;0.1;5;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Relevancy;What is the alphabet of this automaton?;Could you be more specific?;0.1;6;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Relevancy;What is the alphabet of this automaton?;Could you be more specific?;0.1;7;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Relevancy;Before I leave, could you tell me what the alphabet of this automaton is?;Could you be more specific?;0.1;8;False;{'user_input': 'Before I leave, could you tell me what the alphabet of this automaton is?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'alphabet': '?'}}
Relevancy;What is the alphabet of this automaton?;Could you be more specific?;0.1;9;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Relevancy;What is the alphabet of the automaton in state q1?;Could you be more specific?;0.1;10;False;{'user_input': 'What is the alphabet of the automaton in state q1?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Correctness;Is it possible to go from state q2 directly to state q4 in this automaton?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'Is it possible to go from state q2 directly to state q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Correctness;Thank you, could you please tell me what the transition is from state q2 to state q4?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'Thank you, could you please tell me what the transition is from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
