METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Accuracy;1;Is it possible to go from q2 directly to q4 in this automaton?;the transition is not defined.;[];1.0;0;False;{'user_input': 'Is it possible to go from q2 directly to q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;1;Thanks, could you please tell me what is the label of the transition from q2 to q4?;the transition is not defined.;[];1.0;0;False;{'user_input': 'Thanks, could you please tell me what is the label of the transition from q2 to q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;1;Hi, could you tell me what the transition is from state q2 to state q4 in this automaton?;the transition is not defined.;[];1.0;0;False;{'user_input': 'Hi, could you tell me what the transition is from state q2 to state q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;1;What is the optimal spatial representation of the transitions in this automaton?;Could you be more specific?;[];0.1;1;False;{'user_input': 'What is the optimal spatial representation of the transitions in this automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'optimalSpatialRepresentation': '?'}}
Accuracy;1;What is the alphabet of this automaton?;Could you be more specific?;[];0.0;2;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;1;what is the alphabet of this automaton?;Could you be more specific?;[];0.0;3;False;{'user_input': 'what is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;1;what is the alphabet of this automaton if the possible input symbols are [0,1]?;Could you be more specific?;[];0.0;4;False;{'user_input': 'what is the alphabet of this automaton if the possible input symbols are [0,1]?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '0'}}
Accuracy;1;What is the alphabet of this automaton?;Could you be more specific?;[];0.0;5;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;1;This automaton seems wrong: its alphabet is not defined, should the alphabet be “?”;Could you be more specific?;[];0.1;6;False;{'user_input': 'This automaton seems wrong: its alphabet is not defined, should the alphabet be “?”', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'alphabet': '?'}}
Accuracy;1;hi, could you tell me what the alphabet of this finite state automaton is?;Could you be more specific?;[];0.0;7;False;{'user_input': 'hi, could you tell me what the alphabet of this finite state automaton is?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;1;What is the alphabet of this automaton?;Could you be more specific?;[];0.0;8;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;1;What is the language accepted by this automaton, in particular which alphabet does it use?;Could you be more specific?;[];0.0;9;False;{'user_input': 'What is the language accepted by this automaton, in particular which alphabet does it use?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;1;What is the alphabet of this automaton?;Could you be more specific?;[];0.0;10;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;1;ok, now i’ll accept the turn: what is the alphabet of this automaton?;Could you be more specific?;[];0.0;11;False;{'user_input': 'ok, now i’ll accept the turn: what is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'alphabet': '?'}}
