METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT;METRIC_SCORES
Relevancy;2;what is the language recognized by this finite state automaton, given its transitions?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.1;6;False;{'user_input': 'what is the language recognized by this finite state automaton, given its transitions?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?', 'transitions': []}};[0.0, 0.1, 0.0, 1.0]
Relevancy;2;what is the current state of this automaton for the input string?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.1, 0.2, 0.2, 0.1];0.2;7;False;{'user_input': 'what is the current state of this automaton for the input string?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'state': '?'}};[0.1, 0.2, 0.2, 0.1]
Relevancy;2;what is the language recognized by this automaton for an input string like `?`?;Could you be more specific?;[];[0.1, 0.2, 0.1, 1.0];0.2;8;False;{'user_input': 'what is the language recognized by this automaton for an input string like `?`?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.1, 0.2, 0.1, 1.0]
Relevancy;2;is the language recognized by this deterministic automaton regular or deterministic?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.2;9;False;{'user_input': 'is the language recognized by this deterministic automaton regular or deterministic?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Relevancy;2;what is the language recognized by this finite state automaton for an arbitrary input string?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.1;10;False;{'user_input': 'what is the language recognized by this finite state automaton for an arbitrary input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Relevancy;2;I suggest we correct the language for the input string of this automaton: what is the language accepted by the input “?” for this finite state automaton?;Could you be more specific?;[];[0.1, 0.2, 0.1, 1.0];0.2;11;False;{'user_input': 'I suggest we correct the language for the input string of this automaton: what is the language accepted by the input “?” for this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.1, 0.2, 0.1, 1.0]
Relevancy;3;Does this automaton accept any string that does not end in 000?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.1;1;False;{'user_input': 'Does this automaton accept any string that does not end in 000?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'input': '!000'}};[0.0, 0.1, 0.0, 1.0]
Relevancy;3;For the input string `!000`, what is the resulting state of the automaton?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.0, 0.2, 0.0, 0.1];0.2;2;False;{'user_input': 'For the input string `!000`, what is the resulting state of the automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'input': '!000'}};[0.0, 0.2, 0.0, 0.1]
Relevancy;3;what is the language accepted by this automaton for the input string !000?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.1;3;False;{'user_input': 'what is the language accepted by this automaton for the input string !000?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '!000'}};[0.0, 0.1, 0.0, 1.0]
Relevancy;3;what are the transitions followed by the automaton when the input string is !000?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];[0.1, 0.2, 0.2, 0.2];0.2;4;False;{'user_input': 'what are the transitions followed by the automaton when the input string is !000?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};[0.1, 0.2, 0.2, 0.2]
Relevancy;3;can you run the automaton on the input string !000 and tell me the result?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.1;5;False;{'user_input': 'can you run the automaton on the input string !000 and tell me the result?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '!000'}};[0.0, 0.1, 0.0, 1.0]
Relevancy;3;What is the language accepted by this finite state automaton, in particular considering how many transitions it has?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.1;6;False;{'user_input': 'What is the language accepted by this finite state automaton, in particular considering how many transitions it has?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {}};[0.0, 0.1, 0.0, 1.0]
Relevancy;3;Thank you for helping me understand the language accepted by this automaton.;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.95, 0.95, 1.0, 1.0];1.0;6;False;{'user_input': 'Thank you for helping me understand the language accepted by this automaton.', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'input': 'Thank you for helping me understand the language accepted by this automaton.'}};[0.95, 0.95, 1.0, 1.0]
Relevancy;3;Can you help me with a practical question about this automaton?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.9, 0.95, 0.9, 1.0];0.9;6;False;{'user_input': 'Can you help me with a practical question about this automaton?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};[0.9, 0.95, 0.9, 1.0]
Relevancy;3;Which state in this automaton has the highest number of transitions?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.0, 0.2, 0.0, 0.3];0.3;7;False;{'user_input': 'Which state in this automaton has the highest number of transitions?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'stateWithMostTransitions': '?'}};[0.0, 0.2, 0.0, 0.3]
Relevancy;3;Can you show me how this specific automaton works on some example input strings?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.4, 0.5, 0.4, 1.0];0.5;7;False;{'user_input': 'Can you show me how this specific automaton works on some example input strings?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'input': '?'}};[0.4, 0.5, 0.4, 1.0]
Relevancy;3;hi again! could you explain the language accepted by this automaton shown on the tablet?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.2;8;False;{'user_input': 'hi again! could you explain the language accepted by this automaton shown on the tablet?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Relevancy;4;Is this automaton deterministic or nondeterministic based on the picture?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.1, 0.4, 0.2, 1.0];0.3;1;False;{'user_input': 'Is this automaton deterministic or nondeterministic based on the picture?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'input': 'automatonType'}};[0.1, 0.4, 0.2, 1.0]
Relevancy;4;I would like to suggest an input string to test this automaton: could you show me whether the input for the automaton type is deterministic or not?;Could you be more specific?;[];[0.2, 0.2, 0.2, 1.0];0.1;2;False;{'user_input': 'I would like to suggest an input string to test this automaton: could you show me whether the input for the automaton type is deterministic or not?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'input': '?'}};[0.2, 0.2, 0.2, 1.0]
Relevancy;4;what is the language accepted by the automaton starting from this?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.1;3;False;{'user_input': 'what is the language accepted by the automaton starting from this?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q1']}, '_raw_frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Relevancy;4;which information can you give me about this of this automaton?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.9, 0.95, 0.9, 1.0];0.95;3;False;{'user_input': 'which information can you give me about this of this automaton?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q1']}, '_raw_frame': {}};[0.9, 0.95, 0.9, 1.0]
