METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Accuracy;1;Is there a transition from q2 directly to q4 in this automaton?;the transition is not defined.;[];1.0;0;False;{'user_input': 'Is there a transition from q2 directly to q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;1;are the final states of this automaton q1 and q2?;The final state is q0.;['simbolo-q0'];1.0;0;False;{'user_input': 'are the final states of this automaton q1 and q2?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'finalStates': 'q1'}}
Accuracy;1;What is the language accepted by the automaton if the only final state is q1?;Could you be more specific?;[];0.0;1;False;{'user_input': 'What is the language accepted by the automaton if the only final state is q1?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'finalStates': 'q1'}}
Accuracy;1;The language recognized by this automaton, considering q1 as the only final state, is the set of all strings that lead the machine to state q1.;Could you be more specific?;[];0.1;2;False;{'user_input': 'The language recognized by this automaton, considering q1 as the only final state, is the set of all strings that lead the machine to state q1.', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': ['a'], 'states': 'Q1', 'initialState': ['q1'], 'finalStates': ['q1'], 'transitions': [['q1', 'q2', 'a']]}}
Accuracy;1;What is the language accepted by the automaton if the only final state is q1?;Could you be more specific?;[];0.0;3;False;{'user_input': 'What is the language accepted by the automaton if the only final state is q1?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;1;i meant to say: what is the language accepted by this automaton for the input string?;Could you be more specific?;[];0.1;4;False;{'user_input': 'i meant to say: what is the language accepted by this automaton for the input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;1;What is the language accepted by this automaton for the input string?;Could you be more specific?;[];0.1;5;False;{'user_input': 'What is the language accepted by this automaton for the input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;1;What is the language accepted by this finite state automaton for any possible input?;Could you be more specific?;[];0.0;6;False;{'user_input': 'What is the language accepted by this finite state automaton for any possible input?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;1;What is the language accepted by this automaton for an input string like 11000?;Could you be more specific?;[];0.0;7;False;{'user_input': 'What is the language accepted by this automaton for an input string like 11000?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}}
Accuracy;1;What is the language accepted by the automaton if the initial state is Q3?;Could you be more specific?;[];0.0;8;False;{'user_input': 'What is the language accepted by the automaton if the initial state is Q3?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'initialState': 'Q3'}}
Accuracy;1;what is the language accepted by the automaton if the initial state is q3?;Could you be more specific?;[];0.0;9;False;{'user_input': 'what is the language accepted by the automaton if the initial state is q3?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'initialState': 'q3'}}
Accuracy;1;The language recognized by this automaton when the initial state is q3 is the set of all binary strings that start from q3 and, following the transitions 0→q4 and 0→q0, bring the machine back to q0 as an accepting state.;Could you be more specific?;[];0.1;10;False;{'user_input': 'The language recognized by this automaton when the initial state is q3 is the set of all binary strings that start from q3 and, following the transitions 0→q4 and 0→q0, bring the machine back to q0 as an accepting state.', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;1;What is the language accepted by the automaton in state q2?;Could you be more specific?;[];0.0;11;False;{'user_input': 'What is the language accepted by the automaton in state q2?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;1;what is the language accepted by this finite state automaton for an arbitrary input string?;Could you be more specific?;[];0.0;12;False;{'user_input': 'what is the language accepted by this finite state automaton for an arbitrary input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;1;what is the language accepted by this finite state automaton for any possible input string?;Could you be more specific?;[];0.0;13;False;{'user_input': 'what is the language accepted by this finite state automaton for any possible input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;2;What is the symbol on the transition that goes from q1 to q2?;the transition is not defined.;[];0.0;1;False;{'user_input': 'What is the symbol on the transition that goes from q1 to q2?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', 'q2', '?']]}}
Accuracy;2;What symbol labels the transition from state q1 to state q2 in the language of this automaton?;the transition is not defined.;[];0.0;2;False;{'user_input': 'What symbol labels the transition from state q1 to state q2 in the language of this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', 'q2', '?']]}}
Accuracy;2;what are the transitions that start from this?;There is no transition between q2 and q0.;[];0.0;3;False;{'user_input': 'what are the transitions that start from this?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q2']}, '_raw_frame': {'transitions': []}}
Accuracy;2;What is the pattern recognized by the automaton when it reaches state q2?;Could you be more specific?;[];0.0;4;False;{'user_input': 'What is the pattern recognized by the automaton when it reaches state q2?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Accuracy;2;what is the graphical representation pattern of this finite state automaton?;Could you be more specific?;[];0.1;5;False;{'user_input': 'what is the graphical representation pattern of this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'graphicRepresentation': '?'}}
Accuracy;2;what type of pattern does this finite state automaton recognize?;Could you be more specific?;[];0.0;6;False;{'user_input': 'what type of pattern does this finite state automaton recognize?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Accuracy;2;what is the alphabet of this automaton?;Could you be more specific?;[];0.0;7;False;{'user_input': 'what is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;2;What is the alphabet of this automaton?;Could you be more specific?;[];0.0;8;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
