METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT;METRIC_SCORES
Accuracy;1;Is it possible to go from q2 directly to q4 in this automaton?;there is no transition between q2 and q4.;[];[1.0, 1.0, 1.0, 1.0];1.0;0;False;{'user_input': 'Is it possible to go from q2 directly to q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;thanks, could you tell me what the transition from this to that is?;There is no transition between q2 and q4.;[];[1.0, 0.95, 1.0, 1.0];0.95;0;False;{'user_input': 'thanks, could you tell me what the transition from this to that is?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q2', 'q4']}, '_raw_frame': {'transitions': []}};[1.0, 0.95, 1.0, 1.0]
Accuracy;1;"The automaton has 2 final states; can you list all its transitions?";The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];[1.0, 1.0, 1.0, 1.0];1.0;0;False;"{'user_input': 'The automaton has 2 final states; can you list all its transitions?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}}";[1.0, 1.0, 1.0, 1.0]
Accuracy;1;Hi, could you please show me the transition between states q2 and q4 in this automaton?;there is no transition between q2 and q4.;[];[1.0, 1.0, 1.0, 0.9];1.0;0;False;{'user_input': 'Hi, could you please show me the transition between states q2 and q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}};[1.0, 1.0, 1.0, 0.9]
Accuracy;1;Hi! Could you please explain the transition between states q2 and q4 in this automaton?;there is no transition between q2 and q4.;[];[1.0, 1.0, 1.0, 1.0];1.0;0;False;{'user_input': 'Hi! Could you please explain the transition between states q2 and q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;can you explain why the language recognized by the transition sequence of this automaton is non-regular?;Could you be more specific?;[];[0.1, 0.1, 0.1, 1.0];0.1;1;False;{'user_input': 'can you explain why the language recognized by the transition sequence of this automaton is non-regular?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.1, 0.1, 0.1, 1.0]
Accuracy;1;In which language are the strings with exactly 2 transitions of this automaton described?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;2;False;{'user_input': 'In which language are the strings with exactly 2 transitions of this automaton described?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;what input strings over the alphabet {0,1} does this automaton accept?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;3;False;{'user_input': 'what input strings over the alphabet {0,1} does this automaton accept?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;What is the input that this automaton accepts?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;4;False;{'user_input': 'What is the input that this automaton accepts?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;for which input strings does this automaton accept, i.e., what is its language?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;5;False;{'user_input': 'for which input strings does this automaton accept, i.e., what is its language?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;What is the language accepted by this finite state automaton for an input string?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;6;False;{'user_input': 'What is the language accepted by this finite state automaton for an input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;Before I leave, could you tell me what is the language recognized by this automaton for the input string?;Could you be more specific?;[];[0.2, 0.3, 0.2, 1.0];0.1;7;False;{'user_input': 'Before I leave, could you tell me what is the language recognized by this automaton for the input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.2, 0.3, 0.2, 1.0]
Accuracy;1;What is the language accepted by this automaton for an input string?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.1;8;False;{'user_input': 'What is the language accepted by this automaton for an input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;what is the language recognized by this automaton?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;9;False;{'user_input': 'what is the language recognized by this automaton?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'language': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;what is the language accepted by this automaton?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;10;False;{'user_input': 'what is the language accepted by this automaton?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
