METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT;METRIC_SCORES
Accuracy;1;Is q0 the only final state in this automaton?;The final state is q0.;['simbolo-q0'];[1.0, 1.0, 1.0, 1.0];1.0;0;False;{'user_input': 'Is q0 the only final state in this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'finalStates': 'q0'}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;Is q3 the initial state of this automaton?;It is not the initial state.;[];[1.0, 1.0, 1.0, 1.0];1.0;0;False;{'user_input': 'Is q3 the initial state of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'initialState': 'q3'}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;What is the initial state of the automaton if we start from state q3?;It is not the initial state.;[];[0.0, 0.2, 0.0, 1.0];0.0;1;False;{'user_input': 'What is the initial state of the automaton if we start from state q3?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'initialState': 'q3'}};[0.0, 0.2, 0.0, 1.0]
Accuracy;1;so, if the initial state is q3, can we now say goodbye and close the exercise about this state?;It is not the initial state.;[];[0.9, 0.9, 0.9, 1.0];0.9;1;False;{'user_input': 'so, if the initial state is q3, can we now say goodbye and close the exercise about this state?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'initialState': 'q3'}};[0.9, 0.9, 0.9, 1.0]
Accuracy;1;To which state does the automaton go after this transition?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.0, 0.2, 0.2, 0.3];0.0;2;False;{'user_input': 'To which state does the automaton go after this transition?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};[0.0, 0.2, 0.2, 0.3]
Accuracy;1;can you tell me which states are present in this finite state automaton?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[1.0, 1.0, 1.0, 1.0];1.0;2;False;{'user_input': 'can you tell me which states are present in this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;Can you list all the transitions of this automaton for me?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];[1.0, 1.0, 1.0, 1.0];1.0;2;False;{'user_input': 'Can you list all the transitions of this automaton for me?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;What is the alphabet of this automaton?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;3;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;thank you! what is the alphabet of this automaton?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;4;False;{'user_input': 'thank you! what is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;what is the alphabet of this automaton?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;5;False;{'user_input': 'what is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;hi, could you tell me what the alphabet of this automaton is?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;6;False;{'user_input': 'hi, could you tell me what the alphabet of this automaton is?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;Which states in this automaton have no outgoing transitions?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.0, 0.2, 0.0, 0.2];0.0;7;False;{'user_input': 'Which states in this automaton have no outgoing transitions?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};[0.0, 0.2, 0.0, 0.2]
Accuracy;1;What are the states of this automaton?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[1.0, 1.0, 1.0, 1.0];1.0;7;False;{'user_input': 'What are the states of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;What are the states of this automaton?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[1.0, 1.0, 1.0, 1.0];1.0;7;False;{'user_input': 'What are the states of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;Can you tell me what the states of this automaton are?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[1.0, 1.0, 1.0, 1.0];1.0;7;False;{'user_input': 'Can you tell me what the states of this automaton are?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;What is the label of the transition that goes from q1 to q2?;The transition between q1 and q2 is with value 1.;['simbolo-q1-q2'];[1.0, 1.0, 1.0, 1.0];1.0;0;False;{'user_input': 'What is the label of the transition that goes from q1 to q2?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', 'q2', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;what is the label of the transition that goes from this to that?;MUTATION The transition from q1 to q2 has value 1.;['simbolo-q1-q2'];[1.0, 1.0, 1.0, 1.0];1.0;0;True;{'user_input': 'what is the label of the transition that goes from this to that?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q2', 'q1']}, '_raw_frame': {'transitions': []}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;What is the theoretical definition of the transition between states q2 and q1 in this finite state automaton?;There is no transition between q2 and q1.;[];[0.95, 1.0, 1.0, 1.0];0.95;0;False;{'user_input': 'What is the theoretical definition of the transition between states q2 and q1 in this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q1', '?']]}};[0.95, 1.0, 1.0, 1.0]
Accuracy;2;what is the transition label from that to this in this automaton?;MUTATION The transition from q1 to q2 has value 1.;['simbolo-q1-q2'];[1.0, 1.0, 1.0, 1.0];1.0;0;True;{'user_input': 'what is the transition label from that to this in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q2', 'q1']}, '_raw_frame': {'transitions': []}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;Thank you, could you please tell me what the transition from state q2 to state q1 is?;There is no transition between q2 and q1.;[];[1.0, 1.0, 1.0, 1.0];1.0;0;False;{'user_input': 'Thank you, could you please tell me what the transition from state q2 to state q1 is?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q1', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;what is the symbol of the transition from that to this?;MUTATION The transition from q1 to q2 has value 1.;['simbolo-q1-q2'];[1.0, 1.0, 1.0, 1.0];1.0;0;True;{'user_input': 'what is the symbol of the transition from that to this?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q2', 'q1']}, '_raw_frame': {'transitions': []}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;what is the transition label for the edge from that to this in this automaton?;MUTATION The transition from q1 to q2 has value 1.;['simbolo-q1-q2'];[0.2, 0.2, 0.2, 0.2];0.2;1;True;{'user_input': 'what is the transition label for the edge from that to this in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q2', 'q1']}, '_raw_frame': {'transitions': []}};[0.2, 0.2, 0.2, 0.2]
Accuracy;2;yes, the transition from that to this is correct.;MUTATION The transition from q1 to q2 has value 1.;['simbolo-q1-q2'];[1.0, 0.95, 1.0, 1.0];1.0;1;True;{'user_input': 'yes, the transition from that to this is correct.', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q2', 'q1'], 'transitions': [['?', '?', '?']]}, '_raw_frame': {'transitions': [['?', '?', '?']]}};[1.0, 0.95, 1.0, 1.0]
Accuracy;2;What is the alphabet of the automaton that includes the states q2 and q1?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;2;False;{'user_input': 'What is the alphabet of the automaton that includes the states q2 and q1?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;2;What is the alphabet of this automaton?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;3;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;2;What is the alphabet of this automaton?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;4;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
