TEST_CASE_NUMBER;TEST CASE;FOLLOW UP;TEST CASE TEXT;TEST CASE MULTI;FOLLOW UP TEXT;FOLLOW UP MULTI;COMPARE TEXT;COMPARE MULTI
3;There is a transition between q2 and q0 ;Between q2 and q0 there is a transition;there is no transition between q2 and q0.;[];there is no transition between q2 and q0.;[];True;True
3;There is a transition between q2 and q0 ;A transition between q2 and q0 there is;there is no transition between q2 and q0.;[];there is no transition between q2 and q0.;[];True;True
4;There is a transition between q5 and q7 ;Between q5 and q7 there is a transition;the transition is not defined.;[];the transition is not defined.;[];True;True
4;There is a transition between q5 and q7 ;A transition between q5 and q7 there is;the transition is not defined.;[];the transition is not defined.;[];True;True
5;Describe it please ;Please describe it;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
6;How many transitions does the automaton contain ;The automaton, how many transitions does it contain;The automaton has 3 transitions: q0 con valore 1 va in q1, q1 con valore 1 va in q2, q4 con valore 0 va in q0.;[('simbolo-q0-q1', '#04ed00', 'stroke'), ('simbolo-q1-q2', '#04ed00', 'stroke'), ('simbolo-q4-q0', '#04ed00', 'stroke')];The automaton has 3 transitions: q0 con valore 1 va in q1, q1 con valore 1 va in q2, q4 con valore 0 va in q0.;[('simbolo-q0-q1', '#04ed00', 'stroke'), ('simbolo-q1-q2', '#04ed00', 'stroke'), ('simbolo-q4-q0', '#04ed00', 'stroke')];True;True
6;How many transitions does the automaton contain ;How many transitions does it contain, the automaton;The automaton has 3 transitions: q0 con valore 1 va in q1, q1 con valore 1 va in q2, q4 con valore 0 va in q0.;[('simbolo-q0-q1', '#04ed00', 'stroke'), ('simbolo-q1-q2', '#04ed00', 'stroke'), ('simbolo-q4-q0', '#04ed00', 'stroke')];The automaton has 3 transitions: q0 con valore 1 va in q1, q1 con valore 1 va in q2, q4 con valore 0 va in q0.;[('simbolo-q0-q1', '#04ed00', 'stroke'), ('simbolo-q1-q2', '#04ed00', 'stroke'), ('simbolo-q4-q0', '#04ed00', 'stroke')];True;True
7;there is a particular pattern among them ;Among them there is a particular pattern;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
7;there is a particular pattern among them ;A particular pattern there is among them;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
8;What is the alphabet ;The alphabet, what is;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
8;What is the alphabet ;What is the alphabet;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
9;What are the transitions ;The transitions, what are;there is no transition between q0 and q0.;[];there is no transition between q0 and q0.;[];True;True
9;What are the transitions ;What are the transitions;there is no transition between q0 and q0.;[];there is no transition between q0 and q0.;[];True;True
10;What are the states ;The states, what are;The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];True;True
10;What are the states ;What are the states;The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];True;True
11;What is q1 ;Q1, what is;The automaton has 4 states: q0, q1, q2 e q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];False;False
11;What is q1 ;What is q1;The automaton has 4 states: q0, q1, q2 e q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];False;False
12;how many states and edges ;States and edges, how many;This automaton has 4 states;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];The automaton has 3 transitions: q0 con valore 1 va in q1, q1 con valore 1 va in q2, q4 con valore 0 va in q0.;[('simbolo-q0-q1', '#04ed00', 'stroke'), ('simbolo-q1-q2', '#04ed00', 'stroke'), ('simbolo-q4-q0', '#04ed00', 'stroke')];False;False
12;how many states and edges ;How many states and edges;This automaton has 4 states;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];This automaton has 4 states;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];True;True
13;is it directed ;Directed, is it;Potresti essere più specifico?;[];there is no transition between q0 and q0.;[];False;True
13;is it directed ;Is it directed;Potresti essere più specifico?;[];there is no transition between q0 and q0.;[];False;True
14;How is the automaton represented ;The automaton, how is it represented;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];True;True
14;How is the automaton represented ;How is it represented, the automaton;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];True;True
15;has it cycles ;Cycles, has it;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
15;has it cycles ;Has it cycles;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
16;Describe the automaton ;The automaton, describe;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];True;True
16;Describe the automaton ;Describe the automaton;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];True;True
17;The automaton accepts a language allowing words made of an odd number of 0s and 1s ;A language allowing words made of an odd number of 0s and 1s, the automaton accepts;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
17;The automaton accepts a language allowing words made of an odd number of 0s and 1s ;The automaton accepts a language allowing words made of an odd number of 0s and 1s;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
18;is it possible repetitive pattern in the transactions ;Possible repetitive pattern in the transactions, is it;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
18;is it possible repetitive pattern in the transactions ;Is it possible repetitive pattern in the transactions;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
19;If q2 is the final state the language accepted by the automaton is the same ;The language accepted by the automaton is the same if q2 is the final state;The final state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];Potresti essere più specifico?;[];False;False
19;If q2 is the final state the language accepted by the automaton is the same ;If q2 is the final state, the language accepted by the automaton is the same;The final state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];Potresti essere più specifico?;[];False;False
20;Briefly describe the automaton ;The automaton, briefly describe;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];True;True
20;Briefly describe the automaton ;Briefly describe the automaton;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];True;True
21;Does it only accept 1s and 0s ;1s and 0s only, does it accept;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
21;Does it only accept 1s and 0s ;Does it only accept 1s and 0s;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
22;How is the automaton represented ;The automaton, how is it represented;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];True;True
22;How is the automaton represented ;How is the automaton represented;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];True;True
23;And how about the arrows ;The arrows, how about;there is no transition between q0 and q0.;[];there is no transition between q0 and q0.;[];True;True
23;And how about the arrows ;And how about the arrows;there is no transition between q0 and q0.;[];there is no transition between q0 and q0.;[];True;True
24;Which is the initial state ;The initial state, which is;The initial state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];The initial state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];True;True
24;Which is the initial state ;Which is the initial state;The initial state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];The initial state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];True;True
25;Does it have 5 states then ;Five states then, does it have;The automaton has 4 states: q0, q1, q2 e q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];There are 5 states in this automaton.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q3', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];False;False
