TEST_CASE_NUMBER;TEST CASE;FOLLOW UP;TEST CASE TEXT;TEST CASE MULTI;FOLLOW UP TEXT;FOLLOW UP MULTI;COMPARE TEXT;COMPARE MULTI
1;hi ;Mmm hi ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
2;describe the automaton ;Describe mmm the automaton ;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];True;True
2;describe the automaton ;Mmm describe eh the automaton ;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];True;True
2;describe the automaton ;Uhm describe uhm the mmm automaton ;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];True;True
3;There is a transition between q2 and q0 ;There is eh a transition between q2 and q0 ;there is no transition between q2 and q0.;[];there is no transition between q2 and q0.;[];True;True
3;There is a transition between q2 and q0 ;There mmm is a transition between q2 eh and q0 ;there is no transition between q2 and q0.;[];there is no transition between q2 and q0.;[];True;True
3;There is a transition between q2 and q0 ;There is mmm a mmm transition between q2 and uhm q0 ;there is no transition between q2 and q0.;[];there is no transition between q2 and q0.;[];True;True
3;There is a transition between q2 and q0 ;Uhm there mmm is mmm a transition mmm between q2 and q0 ;there is no transition between q2 and q0.;[];there is no transition between q2 and q0.;[];True;True
3;There is a transition between q2 and q0 ;Uhm there mmm is a transition mmm between q2 mmm and mmm q0 ;there is no transition between q2 and q0.;[];there is no transition between q2 and q0.;[];True;True
3;There is a transition between q2 and q0 ;There mmm is a uhm transition eh between uhm q2 uhm and uhm q0 ;there is no transition between q2 and q0.;[];there is no transition between q2 and q0.;[];True;True
