TEST_CASE_NUMBER;TEST CASE;FOLLOW UP;TEST CASE TEXT;TEST CASE MULTI;FOLLOW UP TEXT;FOLLOW UP MULTI;COMPARE TEXT;COMPARE MULTI;20-10/246
2;describe the automaton ;describe the automaton ;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q2 with value 0 goes goes q3, q3 with value 0 goes goes q4, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 12345. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 2 goes goes q2, q2 with value 3 goes goes q3, q3 with value 4 goes goes q4, q4 with value 5 goes to q0.;[];False;True
3;There is a transition between q2 and q0 ;There is a transition between q2 and q0 ;there is no transition between q2 and q0.;[];there is no transition between q2 and q0.;[];True;True
4;There is a transition between q5 and q7 ;There is a transition between q5 and q7 ;the transition is not defined.;[];the transition is not defined.;[];True;True
5;Describe it please ;Describe it please ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
6;How many transitions does the automaton contain ;How many transitions does the automaton contain ;The automaton has 5 transitions: q0 con valore 1 va in q1, q1 con valore 1 va in q2, q2 con valore 0 va in q3, q3 con valore 0 va in q4, q4 con valore 0 va in q0.;[('simbolo-q0-q1', '#04ed00', 'stroke'), ('simbolo-q1-q2', '#04ed00', 'stroke'), ('simbolo-q2-q3', '#04ed00', 'stroke'), ('simbolo-q3-q4', '#04ed00', 'stroke'), ('simbolo-q4-q0', '#04ed00', 'stroke')];The automaton has 5 transitions: q0 con valore 1 va in q1, q1 con valore 2 va in q2, q2 con valore 3 va in q3, q3 con valore 4 va in q4, q4 con valore 5 va in q0.;[('simbolo-q0-q1', '#04ed00', 'stroke'), ('simbolo-q1-q2', '#04ed00', 'stroke'), ('simbolo-q2-q3', '#04ed00', 'stroke'), ('simbolo-q3-q4', '#04ed00', 'stroke'), ('simbolo-q4-q0', '#04ed00', 'stroke')];False;True
8;What is the alphabet ;What is the alphabet ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
9;What are the transitions ;What are the transitions ;there is no transition between q0 and q0.;[];there is no transition between q0 and q0.;[];True;True
14;How is the automaton represented ;How is the automaton represented ;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q2 with value 0 goes goes q3, q3 with value 0 goes goes q4, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 12345. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 2 goes goes q2, q2 with value 3 goes goes q3, q3 with value 4 goes goes q4, q4 with value 5 goes to q0.;[];False;True
16;Describe the automaton ;Describe the automaton ;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q2 with value 0 goes goes q3, q3 with value 0 goes goes q4, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 12345. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 2 goes goes q2, q2 with value 3 goes goes q3, q3 with value 4 goes goes q4, q4 with value 5 goes to q0.;[];False;True
17;The automaton accepts a language allowing words made of an odd number of 0s and 1s ;The automaton accepts a language allowing words made of an odd number of 0s and 1s ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
20;Briefly describe the automaton ;Briefly describe the automaton ;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q2 with value 0 goes goes q3, q3 with value 0 goes goes q4, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 12345. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 2 goes goes q2, q2 with value 3 goes goes q3, q3 with value 4 goes goes q4, q4 with value 5 goes to q0.;[];False;True
21;Does it only accept 1s and 0s ;Does it only accept 1s and 0s ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
22;How is the automaton represented ;How is the automaton represented ;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q2 with value 0 goes goes q3, q3 with value 0 goes goes q4, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 12345. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 2 goes goes q2, q2 with value 3 goes goes q3, q3 with value 4 goes goes q4, q4 with value 5 goes to q0.;[];False;True
23;And how about the arrows ;And how about the arrows ;there is no transition between q0 and q0.;[];there is no transition between q0 and q0.;[];True;True
27;Give me a list of the arcs ;Give me a list of the arcs ;there is no transition between q0 and q0.;[];there is no transition between q0 and q0.;[];True;True
28;Is there an arc from q0 to q1 ;Is there an arc from q0 to q1 ;The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];True;True
30;Is there an arc from q0 to q2 q3 or q4 ;Is there an arc from q0 to q2 q3 or q4 ;there is no transition between q0 and q2.;[];there is no transition between q0 and q2.;[];True;True
31;Which are the transitions from q1 ;Which are the transitions from q1 ;the transition is not defined.;[];the transition is not defined.;[];True;True
32;Which are the transitions from q2 ;Which are the transitions from q2 ;the transition is not defined.;[];there is no transition between q0 and q0.;[];False;True
33;Which are the transitions from q3 ;Which are the transitions from q3 ;there is no transition between q0 and q0.;[];the transition is not defined.;[];False;True
34;Which are the transitions from q4 ;Which are the transitions from q4 ;the transition is not defined.;[];the transition is not defined.;[];True;True
36;What happens when a 0 comes to state q1 ;What happens when a 0 comes to state q1 ;the transition is not defined.;[];The transition between q1 and q2 is with value 2.;[('simbolo-q1-q2', '#04ed00', 'stroke')];False;False
38;how are your states linked together ;how are your states linked together ;there is no transition between q0 and q0.;[];there is no transition between q0 and q0.;[];True;True
39;is q0 linked to q0 ;is q0 linked to q0 ;there is no transition between q0 and q0.;[];there is no transition between q0 and q0.;[];True;True
40;is q1 linked to q4 ;is q1 linked to q4 ;there is no transition between q1 and q4.;[];there is no transition between q1 and q4.;[];True;True
