TEST_CASE_NUMBER;TEST CASE;FOLLOW UP;TEST CASE TEXT;TEST CASE MULTI;FOLLOW UP TEXT;FOLLOW UP MULTI;COMPARE TEXT;COMPARE MULTI
3;There is a transition between q2 and q0 ;There is a transition betwen q2 and q0 ;there is no transition between q2 and q0.;[];there is no transition between q2 and q0.;[];True;True
4;There is a transition between q5 and q7 ;There is a transition betwen q5 and q7 ;the transition is not defined.;[];the transition is not defined.;[];True;True
7;there is a particular pattern among them ;there is a particular patern among them ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
17;The automaton accepts a language allowing words made of an odd number of 0s and 1s ;The automaton acepts a language alowing words made of an od number of 0s and 1s ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
18;is it possible repetitive pattern in the transactions ;is it posible repetitive patern in the transactions ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
19;If q2 is the final state the language accepted by the automaton is the same ;If q2 is the final state the language acepted by the automaton is the same ;Potresti essere più specifico?;[];The final state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];False;False
21;Does it only accept 1s and 0s ;Does it only acept 1s and 0s ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
23;And how about the arrows ;And how about the arows ;there is no transition between q0 and q0.;[];there is no transition between q0 and q0.;[];True;True
36;What happens when a 0 comes to state q1 ;What hapens when a 0 comes to state q1 ;there is no transition between q1 and q1.;[];the transition is not defined.;[];False;True
50;What are the states connected to q0 ;What are the states conected to q0 ;The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];True;True
60;Are there any loops ;Are there any lops ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
67;What is the accepted language ;What is the acepted language ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
70;Is there a particular pattern ;Is there a particular patern ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
